account,age,amount,balance,card_present_flag,customer_id,date,first_name,gender,latitude,longitude,merchant_code,merchant_id,merchant_latitude,merchant_longitude,merchant_state,merchant_suburb,movement,status,transaction_id,txn_description,bin_age,year,month,day,hour,minute,dow,payment_period,annual_salary
ACC-1598451071,26,16.25,35.39,1.0,CUS-2487424745,2018-08-01,Diana,F,-27.95,153.41,,81c48296-73be-44a7-befa-d053f48ce7cd,-27.99,153.38,QLD,Ashmore,debit,authorized,a623070bfead4541a6b0fff8a09e706c,POS,20-30,2018,8,1,1,1,Wednesday,7 days,52855.65
ACC-1598451071,26,14.19,21.2,0.0,CUS-2487424745,2018-08-01,Diana,F,-27.95,153.41,,830a451c-316e-4a6a-bf25-e37caedca49e,-33.87,151.21,NSW,Sydney,debit,authorized,13270a2a902145da9db4c951e04b51b9,SALES-POS,20-30,2018,8,1,1,13,Wednesday,7 days,52855.65
ACC-1598451071,26,3.25,17.95,1.0,CUS-2487424745,2018-08-01,Diana,F,-27.95,153.41,,b4e02c10-0852-4273-b8fd-7b3395e32eb0,-28.06,153.44,QLD,Mermaid Beach,debit,authorized,329adf79878c4cf0aeb4188b4691c266,SALES-POS,20-30,2018,8,1,1,51,Wednesday,7 days,52855.65
ACC-1598451071,26,14.1,3.85,1.0,CUS-2487424745,2018-08-01,Diana,F,-27.95,153.41,,f2ef6270-cf91-409f-a6a2-fbd6735ea500,-28.63,153.6,NSW,Byron Bay,debit,authorized,1c12c9ad77894ef8b507fb091e41e928,POS,20-30,2018,8,1,8,9,Wednesday,7 days,52855.65
ACC-1598451071,26,10.67,1006.85,1.0,CUS-2487424745,2018-08-01,Diana,F,-27.95,153.41,,44abc19c-aa5c-40bd-b1d0-9b2f236189ea,-28.01,153.41,QLD,Bundall,debit,authorized,cd0113426970425a8524e55f4079408f,POS,20-30,2018,8,1,18,19,Wednesday,7 days,52855.65
ACC-1598451071,26,11.28,995.57,0.0,CUS-2487424745,2018-08-01,Diana,F,-27.95,153.41,,73aac058-cb31-46c2-826d-29b161bfb23e,-28.13,153.47,QLD,Elanora,debit,authorized,9a13829c885344c3ad6c6f1a2d30d1bc,SALES-POS,20-30,2018,8,1,19,33,Wednesday,7 days,52855.65
ACC-1598451071,26,8.99,986.58,0.0,CUS-2487424745,2018-08-01,Diana,F,-27.95,153.41,,d87e2b48-3fc5-47e4-87c5-014e56e493df,-28.13,153.47,QLD,Elanora,debit,authorized,e1949cb88eb74ad1b0391347a221e938,POS,20-30,2018,8,1,21,38,Wednesday,7 days,52855.65
ACC-1598451071,26,10.32,976.26,1.0,CUS-2487424745,2018-08-01,Diana,F,-27.95,153.41,,4345dbd1-dfa8-4466-892a-4136a5ae08a2,-27.94,153.41,QLD,Labrador,debit,authorized,e9ff93190c9a4a088994e0f74b02e953,POS,20-30,2018,8,1,22,25,Wednesday,7 days,52855.65
ACC-1598451071,26,8.11,968.15,1.0,CUS-2487424745,2018-08-02,Diana,F,-27.95,153.41,,f74ba6f1-102d-407b-a9e8-3008ad72cdf7,-28.09,153.45,QLD,Burleigh Heads,debit,authorized,61c858d71c9a4d40b66be9368076c940,SALES-POS,20-30,2018,8,2,8,42,Thursday,7 days,52855.65
ACC-1598451071,26,11.23,956.92,1.0,CUS-2487424745,2018-08-02,Diana,F,-27.95,153.41,,2b8320d0-06eb-46af-96d4-b4af7128ae91,-27.97,153.4,QLD,Labrador,debit,authorized,4b3f555adc0b4ff095c31458032e0577,POS,20-30,2018,8,2,9,46,Thursday,7 days,52855.65
ACC-1598451071,26,7.7,949.22,1.0,CUS-2487424745,2018-08-02,Diana,F,-27.95,153.41,,6a7723ac-8d34-4c11-a889-86425efdc1d5,-27.76,153.24,QLD,Ormeau,debit,authorized,4c418372cfd14a57a660a72376352f8a,SALES-POS,20-30,2018,8,2,9,54,Thursday,7 days,52855.65
ACC-1598451071,26,7.99,941.23,1.0,CUS-2487424745,2018-08-02,Diana,F,-27.95,153.41,,3ae539ca-2824-413c-b978-e87360b047ea,-27.91,153.4,QLD,Runaway Bay,debit,authorized,d47344bec5d3402aaee51e924368bd66,POS,20-30,2018,8,2,11,6,Thursday,7 days,52855.65
ACC-1598451071,26,9.47,931.76,1.0,CUS-2487424745,2018-08-02,Diana,F,-27.95,153.41,,ba6beee7-3cb0-49af-8d8f-d82fa84eac35,-28.65,153.6,NSW,Byron Bay,debit,authorized,1e9be2b1da234ed7b2268a6d542f1909,SALES-POS,20-30,2018,8,2,11,12,Thursday,7 days,52855.65
ACC-1598451071,26,195.0,736.76,,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,,,,,,debit,posted,041d726721d442a0a1ac610404774518,PAYMENT,20-30,2018,8,3,6,0,Friday,7 days,52855.65
ACC-1598451071,26,15.3,721.46,1.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,450aeceb-610b-4da2-b87f-1a515a10ef90,-27.96,153.41,QLD,Gold Coast,debit,authorized,0ac4a7a21d174767a766714145de697d,POS,20-30,2018,8,3,8,41,Friday,7 days,52855.65
ACC-1598451071,26,8.99,712.47,1.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,95cdffb0-3918-4ab1-bd23-a280ce15740d,-27.97,153.41,QLD,Southport,debit,authorized,56adfd3d5e1943ae844e8f930d3bc4c3,SALES-POS,20-30,2018,8,3,9,40,Friday,7 days,52855.65
ACC-1598451071,26,7.61,704.86,1.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,036c91ee-e290-4a2d-abcf-3ab1b6a07178,-27.96,153.38,QLD,Parkwood,debit,authorized,cacb53b6868947c48c72feb3d27725fa,SALES-POS,20-30,2018,8,3,9,52,Friday,7 days,52855.65
ACC-1598451071,26,2.08,702.78,0.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,1f91ac18-372f-40b5-bbf8-5a3580e8fa1b,-27.68,153.24,QLD,Carbrook,debit,authorized,95dfc6684cf144ecb038265af7f1c04c,SALES-POS,20-30,2018,8,3,11,4,Friday,7 days,52855.65
ACC-1598451071,26,11.29,691.49,1.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,b702b424-41ca-4827-8e3f-376aa91d210c,-27.52,153.29,QLD,Cleveland,debit,authorized,c74928b540494a29b16e4b83a7387da8,SALES-POS,20-30,2018,8,3,14,8,Friday,7 days,52855.65
ACC-1598451071,26,11.28,680.21,1.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,a9e009b8-fb6f-4dc7-97fa-3d4504ab7f4c,-28.09,153.45,QLD,Burleigh Heads,debit,authorized,368dd989cdbe4780a2b26107c4a82879,POS,20-30,2018,8,3,14,56,Friday,7 days,52855.65
ACC-1598451071,26,21.58,658.63,1.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,05b25c4a-c4dc-4662-9ddf-2e943553b0c2,-28.81,153.29,NSW,Lismore,debit,authorized,8f7df097432048d589851a864f9f9631,POS,20-30,2018,8,3,21,8,Friday,7 days,52855.65
ACC-1598451071,26,3.48,655.15,1.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,462e0fdf-e5b3-4d45-ad35-a6d3accb1843,-27.87,153.34,QLD,Hope Island,debit,authorized,353b2e7565c744a6bcdfac39ef3b6cd6,POS,20-30,2018,8,3,21,45,Friday,7 days,52855.65
ACC-1598451071,26,45.05,610.1,1.0,CUS-2487424745,2018-08-03,Diana,F,-27.95,153.41,,8fdb5fa1-582e-427b-9898-5bd6d3b82311,-28.3,153.57,NSW,Casuarina,debit,authorized,845f4820b2284a6bb927cd2b3baf34af,POS,20-30,2018,8,3,22,33,Friday,7 days,52855.65
