customer_id,date_registered,username,name,gender,address,email,birthdate,current_location,residence,employer,job,age,salary,credit_card_provider,credit_card_number,credit_card_security_code,credit_card_expire
24c9d2d0-d0d3-4a90-9a3a-e00e4aac99bd,2021-09-29,robertsbryan,Jonathan Snyder,M,"24675 Susan Valley
North Dianabury, MO 02475",marcus58@hotmail.com,1978-03-11,"['78.937112', '71.260464']","195 Brandi Junctions
New Julieberg, NE 63410","Byrd, Welch and Holt",Chief Technology Officer,49,53979,VISA 19 digit,38985874269846,994,10/27
7b2bc220-0296-4914-ba46-d6cc6a55a62a,2019-08-17,egarcia,Susan Dominguez,F,"4212 Cheryl Inlet
Port Davidmouth, NC 54884",alexanderkathy@hotmail.com,1970-11-29,"['-24.1692185', '100.746122']","58272 Brown Isle Apt. 698
Port Michael, HI 04693",Hurst PLC,Data scientist,43,81510,Discover,6525743622515979,163,07/30
06febdf9-07fb-4a1b-87d7-a5f97d9a5faf,2019-11-01,turnermegan,Corey Hebert,M,"07388 Coleman Prairie
Lake Amy, IA 78695",vwood@gmail.com,2009-04-23,"['8.019908', '-19.603269']","36848 Jones Lane Suite 282
Marquezbury, ID 26822","Mora, Caldwell and Guerrero",Chief Operating Officer,47,205345,VISA 16 digit,4010729915028682247,634,04/26
23df88e5-5dd3-46af-ac0d-0c6bd92e4b96,2021-12-31,richardcampbell,Latasha Griffin,F,"PSC 6217, Box 2610
APO AA 53585",kathleen36@gmail.com,1992-07-27,"['62.497506', '2.717198']","317 Lamb Cape Apt. 884
Lake Amy, DC 79074",Patel PLC,Counselling psychologist,34,116095,VISA 16 digit,4854862659569207844,7957,10/31
6069c2d7-7905-4993-a155-64f6aba143b1,2020-08-09,timothyjackson,Colleen Wheeler,F,"0325 Potter Roads
Lake Lisashire, NM 77502",johnbest@hotmail.com,1989-09-16,"['73.7924695', '-80.314720']","21936 Mary Islands
Mendozafort, TN 37124",Smith-Mejia,Mining engineer,57,107529,JCB 16 digit,213152724828217,72,05/28
aee2c6aa-c9a4-488c-9e10-6a09dbe2f199,2021-12-29,bobbycampos,John Smith,M,"PSC 1355, Box 7413
APO AA 36433",carlamarshall@hotmail.com,1935-12-08,"['43.229788', '54.454713']","7676 Stephanie Drive Suite 922
New Anthony, IA 10634","Wolf, Perez and Bryant",Civil Service administrator,49,41205,American Express,588418438101,419,02/25
4d52c646-8cc7-4935-9119-130be16518ba,2019-09-13,longstefanie,Julie Sheppard,F,"75631 Charles Spur Apt. 804
Bellchester, HI 14058",igordon@gmail.com,1981-06-02,"['-27.7805925', '10.773065']","PSC 6686, Box 7297
APO AP 18320","Kim, Lucero and Brown",Fast food restaurant manager,59,176593,JCB 16 digit,4155199739994,929,04/29
2a8e2be0-7e41-4a56-9092-7a6258e4d5a1,2021-10-06,kristinasmith,Sara Clark,F,"73332 Eaton Tunnel
East Isabel, ID 01274",ryanwilliams@yahoo.com,1923-11-05,"['-50.553672', '114.947839']","4302 Rowe Drive Suite 678
New Roger, SD 96993",Chavez-Patterson,"Editor, magazine features",52,68884,Diners Club / Carte Blanche,4139784991208906,191,07/31
906fc563-00bb-4974-9e8a-d3d97608ad64,2021-11-01,seth59,Jennifer Nguyen,F,"024 Rodriguez Crest
Avilashire, ID 47616",monroeleslie@gmail.com,2001-06-17,"['-47.2706515', '-5.433348']","347 Arnold Shoal
Lake Gregory, IL 46021",Watson-Park,Patent examiner,65,179308,VISA 19 digit,4635870474423176,624,02/26
44f14da1-5b00-4b6a-bfe4-5be67a4b2521,2020-04-01,sarahrandolph,Casey Moreno,F,"82344 Vanessa Way
Davisport, ME 88716",michael28@gmail.com,1931-01-27,"['3.7511305', '130.887868']","319 Peterson Radial
North Matthew, VT 09847",Forbes-Richards,Sports coach,22,99255,VISA 19 digit,4215322906541637,0,01/23
